Title,Artist,Preview URL,BPM,BPM Confidence (%),Key,Key Confidence (%),Energy (%),Danceability (%),Acousticness (%),Brightness (Hz),Time Signature,Valence (%),Mood,Loudness (dB),Dynamic Range (dB),Silence Ratio (%),Analysis Duration (s),Analyzed At
Winter (from The Four Seasons),Antonio Vivaldi,audiodata://Antonio Vivaldi/Winter (from The Four Seasons),135.999,86.8,F Minor,26.8,26.8,71.7,64.4,1424.5,4/4,50.4,neutral,-11.15,7.88,3.33,1.08,2025-11-12 12:55:39
What's My Age Again?,blink-182,audiodata://blink-182/What's My Age Again?,161.499,59.8,F# Major,12.6,54.1,67.2,49.7,2011.5,4/4,85.8,energetic,-8.58,13.0,0.39,1.1,2025-11-12 12:55:38
We Found Love,Rihanna/Calvin Harris,audiodata://Rihanna/Calvin Harris/We Found Love,112.347,47.5,C# Major,10.9,40.3,67.1,68.1,1274.1,4/4,63.1,neutral,-22.17,42.18,13.31,1.22,2025-11-12 12:55:36
We Are The Champions - Remastered 2011,Queen,audiodata://Queen/We Are The Champions - Remastered 2011,95.703,53.9,C Minor,13.8,49.9,64.9,54.6,1814.7,4/4,35.0,tense,-17.72,21.75,3.17,1.12,2025-11-12 12:55:35
Walking in Memphis,Marc Cohn,audiodata://Marc Cohn/Walking in Memphis,86.133,53.1,C Major,18.1,44.2,66.9,40.0,2398.1,4/4,43.8,neutral,-16.1,17.24,6.35,1.09,2025-11-12 12:55:34
Use Somebody,Isaac Hale,audiodata://Isaac Hale/Use Somebody,92.285,72.4,D Major,18.7,51.7,66.0,59.4,1623.8,4/4,65.3,happy,-9.14,13.48,0.08,1.13,2025-11-12 12:55:33
The Sweet Escape,Gwen Stefani/Akon,audiodata://Gwen Stefani/Akon/The Sweet Escape,117.454,76.4,F Minor,14.3,60.5,68.9,13.3,3466.9,4/4,37.1,neutral,-13.9,16.98,3.56,1.14,2025-11-12 12:55:31
The Scientist,SKAAR,audiodata://SKAAR/The Scientist,73.828,55.0,A# Major,15.5,36.6,67.7,86.9,525.5,4/4,42.3,neutral,-8.84,11.37,1.01,1.23,2025-11-12 12:55:30
Numb,Linkin Park,audiodata://Linkin Park/Numb,112.347,69.9,F# Minor,11.7,58.1,64.7,42.6,2294.9,4/4,36.6,neutral,-12.03,25.48,3.79,1.11,2025-11-12 12:55:29
LUNCH,Billie Eilish,audiodata://Billie Eilish/LUNCH,123.047,76.0,B Minor,12.9,58.9,70.1,56.8,1726.9,4/4,56.8,neutral,-13.61,24.37,0.85,1.16,2025-11-12 12:55:28
Lose Control,Teddy Swims,audiodata://Teddy Swims/Lose Control,161.499,70.2,A Major,14.5,57.2,65.4,47.6,2095.8,4/4,86.4,energetic,-11.36,18.86,0.93,1.12,2025-11-12 12:55:26
Espresso,Sabrina Carpenter,audiodata://Sabrina Carpenter/Espresso,103.359,82.5,D Minor,10.8,62.9,68.1,41.0,2361.9,4/4,37.6,neutral,-8.31,14.0,0.93,1.08,2025-11-12 12:55:25
Semi-Charmed Life,Third Eye Blind,audiodata://Third Eye Blind/Semi-Charmed Life,103.359,76.4,C Minor,10.3,52.6,72.8,32.6,2696.7,4/4,35.5,neutral,-11.39,12.51,8.9,1.18,2025-11-12 12:55:24
Pretty Fly (For A White Guy),The Offspring,audiodata://The Offspring/Pretty Fly (For A White Guy),143.555,69.0,F# Minor,9.6,61.7,68.3,29.4,2822.2,4/4,57.3,neutral,-12.17,20.96,0.62,1.2,2025-11-12 12:55:23
One More Time,Daft Punk,audiodata://Daft Punk/One More Time,123.047,75.4,F Major,11.0,42.0,65.3,39.8,2407.0,4/4,83.4,energetic,-6.35,8.05,1.32,1.2,2025-11-12 12:55:21
Mr. Brightside,Bailey Jehl,audiodata://Bailey Jehl/Mr. Brightside,123.047,72.4,D# Major,20.7,51.2,68.5,57.5,1700.3,4/4,85.2,energetic,-9.05,12.83,0.0,1.09,2025-11-12 12:55:20
Islands in the Stream,Dolly Parton/Kenny Rogers,audiodata://Dolly Parton/Kenny Rogers/Islands in the Stream,103.359,82.2,C Major,16.7,50.4,71.0,58.4,1663.4,4/4,65.1,happy,-9.83,9.7,2.86,1.12,2025-11-12 12:55:19
I Believe in a Thing Called Love,The Darkness,audiodata://The Darkness/I Believe in a Thing Called Love,129.199,60.9,E Minor,9.8,56.1,64.9,57.2,1713.9,4/4,56.2,neutral,-10.99,11.31,3.64,1.16,2025-11-12 12:55:18
Hot for Teacher - 2015 Remaster,Van Halen,audiodata://Van Halen/Hot for Teacher - 2015 Remaster,129.199,80.5,C Major,9.5,50.2,74.8,33.6,2655.2,4/4,85.0,energetic,-5.23,6.12,0.85,1.16,2025-11-12 12:55:16
good 4 u,Scary Pockets/India Carney,audiodata://Scary Pockets/India Carney/good 4 u,135.999,69.5,D# Minor,10.2,69.3,74.2,42.2,2311.5,4/4,58.9,neutral,-12.98,19.67,0.77,1.17,2025-11-12 12:55:15
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk/Pharrell Williams/Nile Rodgers,audiodata://Daft Punk/Pharrell Williams/Nile Rodgers/Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],117.454,75.4,G# Minor,10.3,65.4,76.3,56.5,1741.3,4/4,38.1,neutral,-7.76,12.83,0.7,1.13,2025-11-12 12:55:14
Für Elise,Ludwig van Beethoven,audiodata://Ludwig van Beethoven/Für Elise,151.999,71.8,E Minor,20.8,31.7,67.7,75.0,1000.5,4/4,51.3,neutral,-10.55,12.12,1.16,1.18,2025-11-12 12:55:13
"Freak on a Leash (feat. Amy Lee) - Live At MTV Studio, NYC, 2006",Korn/Amy Lee,"audiodata://Korn/Amy Lee/Freak on a Leash (feat. Amy Lee) - Live At MTV Studio, NYC, 2006",103.359,63.3,D Major,12.0,48.1,66.5,49.2,2030.5,4/4,64.6,neutral,-11.27,16.24,0.0,1.14,2025-11-12 12:55:11
Every Little Thing She Does Is Magic,The Police,audiodata://The Police/Every Little Thing She Does Is Magic,161.499,75.2,B Minor,14.6,46.2,67.8,56.9,1725.5,4/4,54.2,neutral,-7.08,5.86,1.78,1.14,2025-11-12 12:55:10
Don't Stop The Music,Rihanna,audiodata://Rihanna/Don't Stop The Music,123.047,55.4,F# Minor,9.6,62.9,80.7,47.3,2110.0,4/4,57.6,neutral,-13.43,22.86,3.56,1.18,2025-11-12 12:55:09
Dani California,Red Hot Chili Peppers,audiodata://Red Hot Chili Peppers/Dani California,95.703,75.1,A Major,11.0,59.6,78.0,30.1,2797.8,4/4,66.9,happy,-9.55,14.92,3.48,1.17,2025-11-12 12:55:07
Clair de Lune,Johann Debussy,audiodata://Johann Debussy/Clair de Lune,135.999,50.8,F Minor,14.6,38.2,64.8,83.2,670.3,4/4,52.6,neutral,-16.89,29.23,1.93,1.2,2025-11-12 12:55:06
BLACKBIRD,JML,audiodata://JML/BLACKBIRD,123.047,60.2,G# Major,21.3,51.8,67.5,58.5,1660.5,4/4,85.4,energetic,-8.25,14.3,0.0,1.12,2025-11-12 12:55:05
Billie Jean,Michael Jackson,audiodata://Michael Jackson/Billie Jean,117.454,87.1,C# Minor,11.3,64.2,77.7,31.8,2729.3,4/4,37.8,neutral,-13.14,25.58,5.11,1.14,2025-11-12 12:55:04
Big Girls Don't Cry,Nelly Hope,audiodata://Nelly Hope/Big Girls Don't Cry,112.347,59.5,A Major,14.4,50.2,66.5,61.3,1548.6,4/4,65.0,happy,-7.86,14.25,1.63,1.27,2025-11-12 12:55:02
Africa,TOTO,audiodata://TOTO/Africa,92.285,87.0,C# Minor,11.0,60.6,72.4,59.6,1617.9,4/4,37.1,neutral,-16.98,78.71,12.23,1.04,2025-11-12 12:55:01
24K Magic,Bruno Mars,audiodata://Bruno Mars/24K Magic,107.666,51.9,C Minor,12.2,60.3,68.0,32.7,2692.0,4/4,37.1,neutral,-13.97,16.02,0.54,1.12,2025-11-12 12:55:00
Young Hearts Run Free,Candi Staton,audiodata://Candi Staton/Young Hearts Run Free,112.347,76.7,C Major,12.9,60.1,75.4,44.6,2215.9,4/4,67.0,happy,-5.12,7.88,0.0,1.07,2025-11-12 12:54:59
You're the Voice,John Farnham,audiodata://John Farnham/You're the Voice,112.347,69.9,F Minor,14.2,39.2,66.8,52.1,1917.1,4/4,32.8,tense,-11.24,17.94,1.7,1.24,2025-11-12 12:54:57
You're Still The One,Shania Twain,audiodata://Shania Twain/You're Still The One,135.999,77.6,D# Major,12.6,47.6,67.8,40.1,2397.0,4/4,84.5,energetic,-14.73,25.4,1.16,1.1,2025-11-12 12:54:56
You'll Think Of Me - Single Version,Keith Urban,audiodata://Keith Urban/You'll Think Of Me - Single Version,112.347,68.3,F# Minor,11.3,56.2,67.0,15.5,3381.8,4/4,36.2,neutral,-21.8,76.82,15.25,1.11,2025-11-12 12:54:55
You Spin Me Round (Like a Record),Dead Or Alive,audiodata://Dead Or Alive/You Spin Me Round (Like a Record),129.199,76.8,F# Major,12.5,62.7,77.7,26.2,2951.1,4/4,87.5,energetic,-7.89,8.79,3.64,1.1,2025-11-12 12:54:54
You Shook Me All Night Long,AC/DC,audiodata://AC/DC/You Shook Me All Night Long,123.047,55.8,D Major,14.0,60.8,80.7,40.0,2398.6,4/4,87.2,energetic,-12.53,18.77,1.47,1.21,2025-11-12 12:54:52
You Really Got Me - 2015 Remaster,Van Halen,audiodata://Van Halen/You Really Got Me - 2015 Remaster,135.999,59.8,G# Major,10.9,53.7,68.3,30.8,2769.6,4/4,85.7,energetic,-7.23,9.61,0.62,1.17,2025-11-12 12:54:51
You Oughta Know - 2015 Remaster,Alanis Morissette,audiodata://Alanis Morissette/You Oughta Know - 2015 Remaster,103.359,72.9,F# Major,10.3,56.6,67.4,17.7,3290.6,4/4,66.3,happy,-16.28,28.24,0.93,1.08,2025-11-12 12:54:50
You Never Can Tell,Chuck Berry,audiodata://Chuck Berry/You Never Can Tell,161.499,77.1,G Major,11.8,54.8,72.4,53.7,1853.9,4/4,86.0,energetic,-6.01,6.16,1.32,1.1,2025-11-12 12:54:49
You Make My Dreams (Come True),Daryl Hall & John Oates,audiodata://Daryl Hall & John Oates/You Make My Dreams (Come True),161.499,71.6,F Major,13.6,59.4,74.2,41.3,2348.3,4/4,86.9,energetic,-13.84,24.0,5.65,1.16,2025-11-12 12:54:47
You Know You Like It,DJ Snake/AlunaGeorge,audiodata://DJ Snake/AlunaGeorge/You Know You Like It,129.199,57.4,C Major,13.1,57.6,67.5,45.1,2194.8,4/4,86.5,energetic,-13.54,19.98,2.01,1.09,2025-11-12 12:54:46
You Give Love A Bad Name,Bon Jovi,audiodata://Bon Jovi/You Give Love A Bad Name,123.047,78.5,A# Major,10.8,54.5,63.8,30.0,2799.4,4/4,85.9,energetic,-14.92,21.28,6.19,1.19,2025-11-12 12:54:45
You Get What You Give,New Radicals,audiodata://New Radicals/You Get What You Give,112.347,80.5,D Major,10.7,57.5,67.8,32.2,2710.4,4/4,66.5,happy,-8.53,19.54,0.39,1.1,2025-11-12 12:54:44
You Dropped A Bomb On Me,The Gap Band,audiodata://The Gap Band/You Dropped A Bomb On Me,123.047,80.2,E Major,11.4,62.2,74.3,28.4,2863.9,4/4,87.4,energetic,-12.37,15.97,0.08,1.16,2025-11-12 12:54:42
You Can't Hurry Love - 2016 Remaster,Phil Collins,audiodata://Phil Collins/You Can't Hurry Love - 2016 Remaster,99.384,80.6,G Major,13.7,52.3,78.8,32.4,2705.5,4/4,65.5,happy,-5.23,7.9,1.78,1.11,2025-11-12 12:54:41
You Can't Change That,Ray Parker Jr./Raydio,audiodata://Ray Parker Jr./Raydio/You Can't Change That,172.266,76.9,B Major,11.7,51.1,72.0,46.3,2148.8,4/4,85.2,energetic,-8.81,12.17,0.77,1.1,2025-11-12 12:54:40
You Can Call Me Al,Paul Simon,audiodata://Paul Simon/You Can Call Me Al,129.199,78.9,C Major,10.6,46.6,75.4,50.9,1964.5,4/4,84.3,energetic,-10.98,14.26,0.54,1.14,2025-11-12 12:54:39
You Belong With Me (Taylor,Taylor Swift,audiodata://Taylor Swift/You Belong With Me (Taylor,129.199,80.7,B Major,12.6,50.9,67.4,43.5,2261.9,4/4,85.2,energetic,-6.95,13.36,0.93,1.15,2025-11-12 12:54:37
YMCA - Original Version 1978,Village People,audiodata://Village People/YMCA - Original Version 1978,129.199,76.5,D# Minor,9.2,51.5,72.6,39.5,2420.2,4/4,55.3,neutral,-8.06,11.96,0.62,1.13,2025-11-12 12:54:36
"yes, and?",Ariana Grande,"audiodata://Ariana Grande/yes, and?",112.347,63.8,C# Minor,10.1,54.1,68.5,48.3,2066.7,4/4,35.8,neutral,-9.65,15.13,0.08,1.14,2025-11-12 12:54:35
Yellow Mellow,Ocean Alley,audiodata://Ocean Alley/Yellow Mellow,95.703,74.4,B Minor,13.5,58.6,74.8,42.4,2303.2,4/4,36.7,neutral,-8.18,12.38,1.47,1.14,2025-11-12 12:54:34
Yeah! (feat. Lil Jon & Ludacris),USHER/Lil Jon/Ludacris,audiodata://USHER/Lil Jon/Ludacris/Yeah! (feat. Lil Jon & Ludacris),103.359,78.1,E Minor,24.9,54.4,71.2,21.5,3140.7,4/4,35.9,neutral,-11.66,17.31,5.96,1.19,2025-11-12 12:54:33
